Original-name,Fixed-name,office sought,General win/lost,Lost in primary,Party,City,Current elected official,Year,Do they have a pac
Senate Republican Caucus,Tennessee Republican Caucus,Not applicable,,,Republican,Not applicable,"Yes, party PAC",Not applicable,"Yes, Senate Republican Caucus"
Senate Democratic Caucus,Tennessee Democratic Caucus,Not applicable,,,Democrat,Not applicable,"Yes, party PAC",Not applicable,"Yes, Senate Democratic Caucus"
Sand Pac,"Sanderson, Bill",House of Representatives District 77,,,Republican,Kenton,No,Not applicable,"Yes, Sand Pac"
Ry - Pac,"Williams, Ryan",House of Representatives 42,,,Republican,Cookeville,Yes,Not applicable,"Yes, Ry - Pac"
Right Tennessee,"Casada, Glen",House of Representatives District 63,,,Republican,Franklin,No,Not applicable,"Yes, Right Tennessee"
Cas-pac,"Casada, Glen",House of Representatives District 63,,,Republican,Franklin,No,Not applicable,"Yes, Cas pac"
Reeves-Sain Pac,"Reeves, William",Senate District 14,,,Republican,Milton,Yes,Not applicable,"Yes, Reeves-Sain Pac"
Reedy Pac,"Reedy, Jay",House of Representatives 74,,,Republican,Erin,Yes,Not applicable,"Yes, Reedy Pac"
Red State Pac,"Kelsey, Brian",Senate District 31,,,Republican,Memphis,No,Not applicable,"Yes, Red State Pac"
Raampac,"Ramsey, Ron",Senate District 4,,,Republican,Blountville,No,Not applicable,"Yes, Raampac"
Quest Pac,"Ketron, Bill",Senate District 13,,,Republican,Murfreesboro,No,Not applicable,"Yes, Quest Pac"
People Working For Reform,"Hill, Timothy",House of Representatives 03,,,Republican,Bluff City,Yes,Not applicable,"Yes, People Working For Reform"
Pb Pac,"Bailey, Paul",Senate District 15,,,Republican,Cookeville,Yes,Not applicable,"Yes, Pb Pac"
Overmountain Pac,"Hill, Matthew",House of Representatives District 7,,,Republican,Blountville,No,Not applicable,"Yes, Overmountain Pac"
Nash Pac,"Lundberg, Jon",Senate District 4,,,Republican,Bristol,Yes,Not applicable,"Yes, Nash Pac"
Mumpac,"Mumpower, Jason",House of Representatives District 3,,,Republican,Bristol,No,Not applicable,"Yes, Mumpac"
Mpac,"Norris, Mark",Senate District 32,,,Republican,Germantown,No,Not applicable,"Yes, Mpac"
Movement For Justice,"Pearson, Justin",House of Representatives 86,,,Democrat,Memphis,Yes,Not applicable,"Yes, Movement For Justice"
Mgc Pac,"Curcio, Michael G.",House of Representatives District 69,,,Republican,Dickson,No,Not applicable,"Yes, Mgc Pac"
Memphis Progressives,"Lamar, London",House of Representatives District 91,,,Democrat,Memphis,Yes,Not applicable,"Yes, Memphis Progressives"
Mcpac,"McNally, Randy",Senate District 5,,,Republican,Oak Ridge,Yes,Not applicable,"Yes, Mcpac"
Mccormick Pac,"Mccormick, Gerald",House of Representatives District 26,,,Republican,Nashville,No,Not applicable,"Yes, Mccormick Pac"
Matlock Pac For Tennessee,"Matlock, Jimmy",House of Representatives District 21,,,Republican,Lenoir City,No,Not applicable,"Yes, Matlock Pac For Tennessee"
Marsh For Tennessee Business Pac,"Marsh, Pat",House of Representatives 62,,,Republican,Shelbyville,Yes,Not applicable,"Yes, Marsh For Tennessee Business Pac"
Lamberth Pac,"Lamberth, William",House of Representatives 44,,,Republican,Hendersonville,Yes,Not applicable,"Yes, Lamberth Pac"
Kpac,"Williams, W. Kent",House of Representatives District 4,,,Independent,Elizabethton,No,Not applicable,"Yes, Kpac"
Keypac,"Yager, Ken",Senate District 12,,,Republican,Kingston,Yes,Not applicable,"Yes, Keypac"
Kevpac,"Vaughan, Kevin",House of Representatives 95,,,Republican,Collierville,Yes,Not applicable,"Yes, Kevpac"
Johnson Victory Pac,"Johnson, Curtis",House of Representatives 68,,,Republican,Clarksville,Yes,Not applicable,"Yes, Johnson Victory Pac"
Joe Pac,"Carr, Joe",Senate District 14,,,Republican,Lascassas,No,Not applicable,"Yes, Joe Pac"
Jobs4Tn Pac,"Haslam, Bill",Governor,,,Republican,Knoxville,No,Not applicable,"Yes, Jobs4Tn Pac"
Jim Tracy Leadership Pac,"Tracy, Jim",Senate District 14,,,Republican,Nashville,No,Not applicable,"Yes, Jim Tracy Leadership Pac"
Jcb Pac,"Boyd, Clark",House of Representatives 46,,,Republican,Lebanon,Yes,Not applicable,"Yes, Jcb Pac"
Jack - Pac,"Johnson, Jack",Senate District 27,,,Republican,Franklin,Yes,Not applicable,"Yes, Jack - Pac"
Invictus Pac,"Clemmons, John Ray",House of Representatives 55,,,Democrat,Nashville,Yes,Not applicable,"Yes, Invictus Pac"
Insurance And Banking Pac,"Travis, Ron",House of Representatives 31,,,Republican,Dayton,Yes,Not applicable,"Yes, Insurance And Banking Pac"
House Senate Democratic Caucus,Tennessee Democratic Caucus,Not applicable,,,Democrat,Not applicable,"Yes, party PAC",Not applicable,"Yes, House Senate Democratic Caucus"
House Republican Caucus,Tennessee Republican Caucus,Not applicable,,,Republican,Not applicable,"Yes, party PAC",Not applicable,"Yes, House Republican Caucus"
House Democratic Caucus,Tennessee Democratic Caucus,Not applicable,,,Democrat,Not applicable,"Yes, party PAC",Not applicable,"Yes, House Democratic Caucus"
Haz-Pac,"Hazlewood, Patsy",House of Representatives 27,,,Republican,Signal Mountain,Yes,Not applicable,"Yes, Haz-Pac"
Harwell Pac,"Harwell, Beth Halteman",House of Representatives District 56,,,Republican,Nashville,No,Not applicable,"Yes, Harwell Pac"
Haile Pac,"Haile, Ferrell",Senate District 18,,,Republican,Gallatin,Yes,Not applicable,"Yes, Haile Pac"
Green Pac,"Green, Mark",Senate District 22,,,Republican,Clarksville,No,Not applicable,"Yes, Green Pac"
Garrett Pac,"Garrett, Johnny",House of Representatives 45,,,Republican,Goodlettsville,Yes,Not applicable,"Yes, Garrett Pac"
G-Pac,"Grills, Rusty",House of Representatives 77,,,Republican,Newbern,Yes,Not applicable,"Yes, G-Pac"
Fitz Pac,"Fitzhugh, Craig",Governor,,,Democrat,Ripley,No,Not applicable,"Yes, Fitz Pac"
Faison'S Freedom,"Faison, Jeremy",House of Representatives 11,,,Republican,Cosby,Yes,Not applicable,"Yes, Faison'S Freedom"
Envision Tennessee,"Yarbro, Jeff",Senate District 21,,,Democrat,Nashville,Yes,Not applicable,"Yes, Envision Tennessee"
Durham Pac,"Durham, Jeremy",House of Representatives District 65,,,Republican,Brentwood,No,Not applicable,"Yes, Durham Pac"
Dickson County Republican Party,"Littleton, Mary",House of Representatives 78,,,Republican,White Bluff,Yes,Not applicable,"Yes, Dickson County Republican Party"
Curtiss Pac,"Curtiss, Charles",House of Representatives District 43,,,Democrat,Sparta,No,Not applicable,"Yes, Curtiss Pac"
Camp Pac,"Camper, Karen",House of Representatives 87,,,Democrat,Memphis,Yes,Not applicable,"Yes, Camp Pac"
Cam Pac,"Sexton, Cameron",House of Representatives 25,,,Republican,Crossville,Yes,Not applicable,"Yes, Cam Pac"
Briggs Pac,"Briggs, Richard",Senate District 7,,,Republican,Knoxville,Yes,Not applicable,"Yes, Briggs Pac"
Bowpac,"Watson, Bo",Senate District 11,,,Republican,Hixson,Yes,Not applicable,"Yes, Bowpac"
Bow-Pac,"Watson, Bo",Senate District 11,,,Republican,Hixson,Yes,Not applicable,"Yes, Bow-Pac"
Bell Pac,"Bell, Mike",Senate District 9,,,Republican,Riceville,No,Not applicable,"Yes, Bell Pac"
Becpac,"McCalmon, Jacob",House of Representatives 63,,,Republican,Brentwood,Yes,Not applicable,"Yes, Becpac"
Akbari Pac,"Akbari, Raumesh",Senate District 29,,,Democrat,Memphis,Yes,Not applicable,"Yes, Akbari Pac"
Bill Lee Inauguration,"Lee, Bill",Governor,Won,Won,Republican,Franklin,Yes,Not applicable,Inaugual fund
"Alexander, Rebecca","Alexander, Rebecca",House of Representatives 07,TBD,TBD,Republican,Jonesborough,Yes,2024,
"Barrett, Joseph M.","Barrett, Joseph",House of Representatives 69,TBD,TBD,Republican,Lyles,Yes,2024,
"Baum, Charlie","Baum, Charlie",House of Representatives 37,TBD,TBD,Republican,Murfreesboro,Yes,2024,
"Behn, Aftyn","Behn, Aftyn",House of Representatives 51,TBD,TBD,Democrat,Nashville,Yes,2024,
"Bowling, Janice","Bowling, Janice",Senate District 16,TBD,TBD,Republican,Tullahoma,Yes,2024,
"Boyd, Clark","Boyd, Clark",House of Representatives 46,TBD,TBD,Republican,Lebanon,Yes,2024,
"Bricken, Rush","Bricken, Rush",House of Representatives 47,TBD,TBD,Republican,Manchester,Yes,2024,
"Bulso, Jr., Eugene N. (Gino)","Bulso, Gino",House of Representatives 61,TBD,TBD,Republican,Brentwood,Yes,2024,
"Burkhart, Jeff","Burkhart, Jeff",House of Representatives 75,TBD,TBD,Republican,Clarksville,Yes,2024,
"Butler, Ed","Butler, Ed",House of Representatives 41,TBD,TBD,Republican,Cookeville,Yes,2024,
"Campbell, Heidi","Campbell, Heidi",Senate District 20,TBD,TBD,Democrat,Nashville,Yes,2024,
"Camper, Karen","Camper, Karen",House of Representatives 87,TBD,TBD,Democrat,Memphis,Yes,2024,
"Capley, Kip","Capley, Kip",House of Representatives 71,TBD,TBD,Republican,Summertown,Yes,2024,
"Carr, Bruce Dale","Carr, Dale",House of Representatives 12,TBD,TBD,Republican,Sevierville,Yes,2024,
"Carringer, Michele","Carringer, Michele",House of Representatives 16,TBD,TBD,Republican,Knoxville,Yes,2024,
"Cepicky, Scott","Cepicky, Scott",House of Representatives 64,TBD,TBD,Republican,Columbia,Yes,2024,
"Chism, Jesse","Chism, Jesse",House of Representatives 85,TBD,TBD,Democrat,Memphis,Yes,2024,
"Clemmons, John Ray","Clemmons, John Ray",House of Representatives 55,TBD,TBD,Democrat,Nashville,Yes,2024,
"Cochran, Mark","Cochran, Mark",House of Representatives 23,TBD,TBD,Republican,Athens,Yes,2024,
"Crawford, John","Crawford, John",House of Representatives 01,TBD,TBD,Republican,Bristol,Yes,2024,
"Darby, Tandy","Darby, Tandy",House of Representatives 76,TBD,TBD,Republican,Greenfield,Yes,2024,
"Davis, Elaine","Davis, Elaine",House of Representatives 18,TBD,TBD,Republican,Knoxville,Yes,2024,
"Dixie, Vincent","Dixie, Vincent",House of Representatives 54,TBD,TBD,Democrat,Whites Creek,Yes,2024,
"Doggett, Clay","Doggett, Clay",House of Representatives 70,TBD,TBD,Republican,Pulaski,Yes,2024,
"Eldridge, Rick","Eldridge, Rick",House of Representatives 10,TBD,TBD,Republican,Morristown,Yes,2024,
"Faison, Jeremy","Faison, Jeremy",House of Representatives 11,TBD,TBD,Republican,Cosby,Yes,2024,
"Farmer, Andrew Ellis","Farmer, Andrew",House of Representatives 17,TBD,TBD,Republican,Sevierville,Yes,2024,
"Freeman, Bob","Freeman, Bob",House of Representatives 56,TBD,TBD,Democrat,Nashville,Yes,2024,
"Fritts, Monty","Fritts, Monty",House of Representatives 32,TBD,TBD,Republican,Kingston,Yes,2024,
"Gant, Ron","Gant, Ron",House of Representatives 94,TBD,TBD,Republican,Rossville,Yes,2024,
"Gardenhire, Todd","Gardenhire, Todd",Senate District 10,TBD,TBD,Republican,Chattanooga,Yes,2024,
"Garrett, Johnny","Garrett, Johnny",House of Representatives 45,TBD,TBD,Republican,Goodlettsville,Yes,2024,
"Gillespie, John","Gillespie, John",House of Representatives 97,TBD,TBD,Republican,Memphis,Yes,2024,
"Glynn, Ronnie L.","Glynn, Ronnie",House of Representatives 67,TBD,TBD,Democrat,Clarksville,Yes,2024,
"Grills, Rusty","Grills, Rusty",House of Representatives 77,TBD,TBD,Republican,Newbern,Yes,2024,
"Haile, Ferrell","Haile, Ferrell",Senate District 18,TBD,TBD,Republican,Gallatin,Yes,2024,
"Hakeem, Yusuf A.","Hakeem, Yusuf",House of Representatives 28,TBD,TBD,Democrat,Chattanooga,Yes,2024,
"Hale, Michael","Hale, Michael",House of Representatives 40,TBD,TBD,Republican,Smithville,Yes,2024,
"Hardaway, G. A.","Hardaway, G. A.",House of Representatives 93,TBD,TBD,Democrat,Memphis,Yes,2024,
"Harris, Torrey","Harris, Torrey",House of Representatives 91,TBD,TBD,Democrat,Memphis,Yes,2024,
"Haston, Kirk","Haston, Kirk",House of Representatives 72,TBD,TBD,Republican,Lobelville,Yes,2024,
"Hawk, David","Hawk, David",House of Representatives 05,TBD,TBD,Republican,Greeneville,Yes,2024,
"Hazlewood, Patsy","Hazlewood, Patsy",House of Representatives 27,TBD,TBD,Republican,Signal Mountain,Yes,2024,
"Helton, Esther","Helton, Esther",House of Representatives 30,TBD,TBD,Republican,Chattanooga,Yes,2024,
"Hemmer, Caleb","Hemmer, Caleb",House of Representatives 59,TBD,TBD,Democrat,Nashville,Yes,2024,
"Hensley, Joey","Hensley, Joey",Senate District 28,TBD,TBD,Republican,Columbia,Yes,2024,
"Hicks, Jr., Gary","Hicks, Gary",House of Representatives 09,TBD,TBD,Republican,Rogersville,Yes,2024,
"Hicks, Tim","Hicks, Tim",House of Representatives 06,TBD,TBD,Republican,Johnson City,Yes,2024,
"Hill, Timothy","Hill, Timothy",House of Representatives 03,TBD,TBD,Republican,Bluff City,Yes,2024,
"Holsclaw, John B.","Holsclaw, John",House of Representatives 04,TBD,TBD,Republican,Elizabethton,Yes,2024,
"Howell, Dan","Howell, Dan",House of Representatives 22,TBD,TBD,Republican,Benton,Yes,2024,
"Hulsey, Bud","Hulsey, Bud",House of Representatives 02,TBD,TBD,Republican,Kingsport,Yes,2024,
"Hurt, Chris","Hurt, Chris",House of Representatives 82,TBD,TBD,Republican,Halls,Yes,2024,
"Jernigan, Darren","Jernigan, Darren",House of Representatives 60,TBD,TBD,Democrat,Old Hickory,Yes,2024,
"Johnson, Curtis","Johnson, Curtis",House of Representatives 68,TBD,TBD,Republican,Clarksville,Yes,2024,
"Johnson, Gloria","Johnson, Gloria",House of Representatives 90,TBD,TBD,Democrat,Knoxville,Yes,2024,
"Jones, Justin","Jones, Justin",House of Representatives 52,TBD,TBD,Democrat,Nashville,Yes,2024,
"Keisling, Kelly","Keisling, Kelly",House of Representatives 38,TBD,TBD,Republican,Byrdstown,Yes,2024,
"Kumar, Sabi (Doc)","Kumar, Sabi",House of Representatives 66,TBD,TBD,Republican,Springfield,Yes,2024,
"Kyle, Sara P.","Kyle, Sara",Senate District 30,TBD,TBD,Democrat,Memphis,Yes,2024,
"Lafferty, Justin","Lafferty, Justin",House of Representatives 89,TBD,TBD,Republican,Knoxville,Yes,2024,
"Lamberth, Ii, William G.","Lamberth, William",House of Representatives 44,TBD,TBD,Republican,Hendersonville,Yes,2024,
"Leatherwood, Tom","Leatherwood, Tom",House of Representatives 99,TBD,TBD,Republican,Arlington,Yes,2024,
"Littleton, Mary","Littleton, Mary",House of Representatives 78,TBD,TBD,Republican,White Bluff,Yes,2024,
"Love, Jr., Harold M.","Love, Harold",House of Representatives 58,TBD,TBD,Democrat,Nashville,Yes,2024,
"Lundberg, Jon","Lundberg, Jon",Senate District 4,TBD,TBD,Republican,Bristol,Yes,2024,
"Lynn, Susan","Lynn, Susan",House of Representatives 57,TBD,TBD,Republican,Old Hickory,Yes,2024,
"Marsh, Pat","Marsh, Pat",House of Representatives 62,TBD,TBD,Republican,Shelbyville,Yes,2024,
"Martin, Greg","Martin, Greg",House of Representatives 26,TBD,TBD,Republican,Chattanooga,Yes,2024,
"Martin, William Brock","Martin, William Brock",House of Representatives 79,TBD,TBD,Republican,Cedar Grove,Yes,2024,
"Massey, Rebecca Duncan","Massey, Rebecca Duncan",Senate District 06,TBD,TBD,Republican,Knoxville,Yes,2024,
"Mccalmon, Jacob","McCalmon, Jacob",House of Representatives 63,TBD,TBD,Republican,Brentwood,Yes,2024,
"Mckenzie, Sam","McKenzie, Sam",House of Representatives 15,TBD,TBD,Democrat,Knoxville,Yes,2024,
"Miller, Larry","Miller, Larry",House of Representatives 88,TBD,TBD,Democrat,Memphis,Yes,2024,
"Mitchell, Bo","Mitchell, Bo",House of Representatives 50,TBD,TBD,Democrat,Nashville,Yes,2024,
"Moody, Debra","Moody, Debra",House of Representatives 81,TBD,TBD,Republican,Covington,Yes,2024,
"Moon, Jerome F.","Moon, Jerome",House of Representatives 08,TBD,TBD,Republican,Maryville,Yes,2024,
"Niceley, Frank","Niceley, Frank",Senate District 08,TBD,TBD,Republican,Strawberry Plains,Yes,2024,
"Parkinson, Antonio '2 Shay'","Parkinson, Antonio",House of Representatives 98,TBD,TBD,Democrat,Bartlett,Yes,2024,
"Pearson, Justin J.","Pearson, Justin",House of Representatives 86,TBD,TBD,Democrat,Memphis,Yes,2024,
"Powell, Jason","Powell, Jason",House of Representatives 53,TBD,TBD,Democrat,Nashville,Yes,2024,
"Powers, Bill","Powers, Bill",Senate District 22,TBD,TBD,Republican,Clarksville,Yes,2024,
"Powers, Dennis","Powers, Dennis",House of Representatives 36,TBD,TBD,Republican,Jacksboro,Yes,2024,
"Ragan, John","Ragan, John",House of Representatives 33,TBD,TBD,Republican,Oak Ridge,Yes,2024,
"Raper, Kevin D.","Raper, Kevin",House of Representatives 24,TBD,TBD,Republican,Cleveland,Yes,2024,
"Reedy, Jay D.","Reedy, Jay",House of Representatives 74,TBD,TBD,Republican,Erin,Yes,2024,
"Reeves, William S.","Reeves, William",Senate District 14,TBD,TBD,Republican,Milton,Yes,2024,
"Rose, Paul","Rose, Paul",Senate District 32,TBD,TBD,Republican,Collierville,Yes,2024,
"Rudd, Tim","Rudd, Tim",House of Representatives 34,TBD,TBD,Republican,Murfreesboro,Yes,2024,
"Rudder, Iris","Rudder, Iris",House of Representatives 39,TBD,TBD,Republican,Winchester,Yes,2024,
"Russell, Larry Lowell","Russell, Larry",House of Representatives 21,TBD,TBD,Republican,Sweetwater,Yes,2024,
"Sexton, Cameron","Sexton, Cameron",House of Representatives 25,TBD,TBD,Republican,Crossville,Yes,2024,
"Shaw, Johnny","Shaw, Johnny",House of Representatives 80,TBD,TBD,Democrat,Bolivar,Yes,2024,
"Sherrell, Paul","Sherrell, Paul",House of Representatives 43,TBD,TBD,Republican,Sparta,Yes,2024,
"Slater, William","Slater, William",House of Representatives 35,TBD,TBD,Republican,Gallatin,Yes,2024,
"Sparks, Michael","Sparks, Mike",House of Representatives 49,TBD,TBD,Republican,Smyrna,Yes,2024,
"Stevens, John","Stevens, John",Senate District 24,TBD,TBD,Republican,Huntingdon,Yes,2024,
"Stevens, Robert","Stevens, Robert",House of Representatives 13,TBD,TBD,Republican,Smyrna,Yes,2024,
"Swann, Art","Swann, Art",Senate District 02,TBD,TBD,Republican,Alcoa,Yes,2024,
"Terry, Gregory Bryan","Terry, Bryan",House of Representatives 48,TBD,TBD,Republican,Murfreesboro,Yes,2024,
"Thompson, Hilman Dwayne","Thompson, Dwayne",House of Representatives 96,TBD,TBD,Democrat,Cordova,Yes,2024,
"Todd, Christopher","Todd, Chris",House of Representatives 73,TBD,TBD,Republican,Jackson,Yes,2024,
"Towns, Jr., Joe","Towns, Joe",House of Representatives 84,TBD,TBD,Democrat,Memphis,Yes,2024,
"Travis, Ron","Travis, Ron",House of Representatives 31,TBD,TBD,Republican,Dayton,Yes,2024,
"Vaughan, Kevin","Vaughan, Kevin",House of Representatives 95,TBD,TBD,Republican,Collierville,Yes,2024,
"Vital, Greg","Vital, Greg",House of Representatives 29,TBD,TBD,Republican,Chattanooga,Yes,2024,
"Walley, Page","Walley, Page",Senate District 26,TBD,TBD,Republican,Lawrenceburg,Yes,2024,
"Warner, Todd","Warner, Todd",House of Representatives 92,TBD,TBD,Republican,Chapel Hill,Yes,2024,
"White, Mark","White, Mark",House of Representatives 83,TBD,TBD,Republican,Memphis,Yes,2024,
"Whitson, Sam","Whitson, Sam",House of Representatives 65,TBD,TBD,Republican,Franklin,Yes,2024,
"Williams, Ryan","Williams, Ryan",House of Representatives 42,TBD,TBD,Republican,Cookeville,Yes,2024,
"Wright, Dave","Wright, Dave",House of Representatives 19,TBD,TBD,Republican,Corryton,Yes,2024,
"Yager, Ken","Yager, Ken",Senate District 12,TBD,TBD,Republican,Kingston,Yes,2024,
"Zachary, Jason","Zachary, Jason",House of Representatives 14,TBD,TBD,Republican,Knoxville,Yes,2024,
"Adkins, Wesley","Adkins, Wesley",House of Representatives 25,TBD,TBD,Democrat,Cookeville,No,2024,
"Alexander, Curt","Alexander, Curt",House of Representatives 04,TBD,TBD,Republican,Elizabethton,No,2024,
"Anderson, Rebecca","Anderson, Rebecca",House of Representatives 05,TBD,TBD,Independent,Greeneville,No,2024,
"Andreson, Laura","Andreson, Laura",House of Representatives 63,TBD,TBD,Democrat,Franklin,No,2024,
"Armor, Alexander","Armor, Alexander",House of Representatives 38,TBD,TBD,Independent,Lafayette,No,2024,
"Atchley, Fred","Atchley, Fred",House of Representatives 12,TBD,TBD,Republican,Sevierville,No,2024,
"Averwater, Jami K.","Averwater, Jami K.",House of Representatives 13,TBD,TBD,Republican,Murfreesboro,No,2024,
"Backus, Anne","Backus, Anne",House of Representatives 33,TBD,TBD,Democrat,Oak Ridge,No,2024,
"Batt, Brad","Batt, Brad",House of Representatives 06,TBD,TBD,Democrat,Johnson City,No,2024,
"Beale, Alison","Beale, Alison",House of Representatives 45,TBD,TBD,Democrat,Hendersonville,No,2024,
"Bean, Scott","Bean, Scott",Senate District 16,TBD,TBD,Independent,Fayetteville,No,2024,
"Beathard, Brian","Beathard, Brian",House of Representatives 65,TBD,TBD,Republican,Franklin,No,2024,
"Black, Laura A.","Black, Laura A.",Senate District 18,TBD,TBD,Independent,Lebanon,No,2024,
"Bobo, Chad","Bobo, Chad",House of Representatives 60,TBD,TBD,Republican,Hermitage,No,2024,
"Bohling, Laura","Bohling, Laura",House of Representatives 34,TBD,TBD,Democrat,Murfreesboro,No,2024,
"Braddock, Leslie","Braddock, Leslie",House of Representatives 12,TBD,TBD,Democrat,Gatlinburg,No,2024,
"Brasher, Tyler","Brasher, Tyler",House of Representatives 60,TBD,TBD,Democrat,Nashville,No,2024,
"Bright, Nick","Bright, Nick",House of Representatives 20,TBD,TBD,Republican,Greenback,No,2024,
"Brooks, Iii, Thomas J.","Brooks, Iii, Thomas J.",House of Representatives 28,TBD,TBD,Independent,Chattanooga,No,2024,
"Brooks, Shaundelle","Brooks, Shaundelle",House of Representatives 60,TBD,TBD,Democrat,Nashville,No,2024,
"Brown, Cheryl (Cheri)","Brown, Cheryl (Cheri)",House of Representatives 37,TBD,TBD,Democrat,Murfreesboro,No,2024,
"Brown, Christian","Brown, Christian",House of Representatives 12,TBD,TBD,Republican,Sevierville,No,2024,
"Bruni, Sylvain","Bruni, Sylvain",House of Representatives 07,TBD,TBD,Democrat,Johnson City,No,2024,
"Bryan, Domonica","Bryan, Domonica",Senate District 06,TBD,TBD,Democrat,Knoxville,No,2024,
"Campbell, Scotty","Campbell, Scotty",House of Representatives 03,TBD,TBD,Republican,Mountain City,No,2024,
"Carniello, Brian","Carniello, Brian",House of Representatives 14,TBD,TBD,Democrat,Knoxville,No,2024,
"Carona, Ailina","Carona, Ailina",House of Representatives 57,TBD,TBD,Democrat,Mount Juliet,No,2024,
"Carver, Lauren","Carver, Lauren",House of Representatives 16,TBD,TBD,Democrat,Powell,No,2024,
"Castle Doyle, Deborah","Castle Doyle, Deborah",House of Representatives 78,TBD,TBD,Democrat,Nashville,No,2024,
"Chandler, Walter","Chandler, Walter",Senate District 18,TBD,TBD,Democrat,Hendersonville,No,2024,
"Chase, Andrea","Chase, Andrea",House of Representatives 24,TBD,TBD,Democrat,Cleveland,No,2024,
"Clariett, Renarda Renee","Clariett, Renarda Renee",House of Representatives 93,TBD,TBD,Republican,Memphis,No,2024,
"Cobb, James T. (Bubba)","Cobb, James T. (Bubba)",House of Representatives 77,TBD,TBD,Republican,Hornbeak,No,2024,
"Cochran, Joni","Cochran, Joni",House of Representatives 46,TBD,TBD,Democrat,Mt. Juliet,No,2024,
"Collins, Amanda","Collins, Amanda",House of Representatives 14,TBD,TBD,Democrat,Knoxville,No,2024,
"Collins, Andrew","Collins, Andrew",House of Representatives 28,TBD,TBD,Republican,Chattanooga,No,2024,
"Coonrod, Demetrus","Coonrod, Demetrus",House of Representatives 28,TBD,TBD,Democrat,Chattanooga,No,2024,
"Cooper, Charles (Charlie)","Cooper, Charles (Charlie)",Senate District 24,TBD,TBD,Republican,Obion,No,2024,
"Costanzo, Siobhan","Costanzo, Siobhan",House of Representatives 19,TBD,TBD,Democrat,Did not say,No,2024,
"Coy, Tim","Coy, Tim",House of Representatives 71,TBD,TBD,Democrat,Clifton,No,2024,
"Crutchfield, Missy","Crutchfield, Missy",Senate District 10,TBD,TBD,Democrat,Chattanooga,No,2024,
"Dallas, James Evan","Dallas, James Evan",Senate District 28,TBD,TBD,Democrat,Columbia,No,2024,
"Daugherty, Michael Leon","Daugherty, Michael Leon",House of Representatives 19,TBD,TBD,Democrat,Did not say,No,2024,
