Original-donor-name,Company-affiliated-name,Bought out/name change
Anheuser Busch Companies,Anheuser-Busch,
"Anheuser Busch Companies, Llc",Anheuser-Busch,
"Anheuser Busch Company, Llc",Anheuser-Busch,
Anheuser Busch Llc,Anheuser-Busch,
Anheuser Busch Pac,Anheuser-Busch,
Anheuser Bush,Anheuser-Busch,
Anheuser-Busch,Anheuser-Busch,
Anheuser-Busch Companies,Anheuser-Busch,
"Anheuser-Busch Companies, Inc.",Anheuser-Busch,
Anheuser-Bush Companies,Anheuser-Busch,
Anheususer Busch Llc,Anheuser-Busch,
Anhheiuser-Bush Llc,Anheuser-Busch,
"Anthem, Inc. And Its Affiliates Including Amerigroup Tennessee, Inc. Dba Amerigroup Community Care",Elevance Health - Wellpoint,
"Apollo Education Group, Inc.",Apollo Education Group,
"Apollo Group, Inc.",Apollo Education Group,
"Appalachian Underwriters, Inc.",Appalachian Underwriters,
Appraisal Institute - Tennessee Chapter,Appraisal Institute - Tennessee Chapter,
Appraisal Institute/Greater Tn And Memphis Chapters,Appraisal Institute - Tennessee Chapter,
Appriss Insights Llc,Appriss Insights,
"Appriss, Inc.",Appriss Insights,
Arda Roc Pac,American Resort Development Association,
Argentum,Argentum,
Argentum C/O Multistate Associates Inc.,Argentum,
Assn Builders & Contractors - Mid. Tn Chapter,Associated Builders & Contractors (All Tennessee Chapters),
Assn Builders & Contractors-East Tn Chapter,Associated Builders & Contractors (All Tennessee Chapters),
Assn. Of County Mayors,Association of County Mayors,
Assn. Of Surgical Technologists,Association of Surgical,
Assn. Of Surgical Technologists D/B/A Assn. Of Surgical,Association of Surgical,
"Associated Builders & Contractors, Mid Tn Chapter",Associated Builders & Contractors (All Tennessee Chapters),
"Associated Builders & Contractors, Middle Tennessee/Greater Nashville Chapter",Associated Builders & Contractors (All Tennessee Chapters),
"Associated Builders & Contractors, Tennessee",Associated Builders & Contractors (All Tennessee Chapters),
"Associated Builders And Contractors,Greater Tn Chapter",Associated Builders & Contractors (All Tennessee Chapters),
Association Of County Mayors,Association of County Mayors,
Association Of Title Pledge Lenders Of Tn,Title Loan Association of Tennessee,
Asurion,Asurion,
"Asurion Insurance Services, Inc",Asurion,
At & T Inc.,AT&T,
At&T,AT&T,
At&T Inc,AT&T,
"At&T Mobility, Llc (Fka Cingular Wireless, Llc)",AT&T,
At&T Tennessee Pac,AT&T,
Automated Health Systems,Automated Health Systems,
"Automated Healthcare Solutions, Llc",Automated Health Systems,
"Ayers Sr., James",Jim Ayers and family (Parsons),
"Ayers, James",Jim Ayers and family (Parsons),
"Ayers, James W",Jim Ayers and family (Parsons),Yes
"Ayers, James W.",Jim Ayers and family (Parsons),Yes
"Ayers, Janet",Jim Ayers and family (Parsons),
"Ayers, Janet E",Jim Ayers and family (Parsons),
"Ayers, Janet E.",Jim Ayers and family (Parsons),
"Ayers, Jim",Jim Ayers and family (Parsons),
"Ayers, John",Jim Ayers and family (Parsons),
"Ayers, Jon",Jim Ayers and family (Parsons),
"Ayers, Kristy",Jim Ayers and family (Parsons),
Ballad Health,Ballad Health,
Bank Of America Corporation,Bank of America,
Bank Of America Corporation,Bank of America,
Bank Of America Corporation/Bank Of America Na,Bank of America,
Bank Of America Tennessee Pac,Bank of America,
"Bank Of America, Na",Bank of America,
Baptist Health System Of East Tn,Baptist Memorial Health.,
Baptist Memorial Health Care Corp.,Baptist Memorial Health.,
Baxter Healthcare,Baxter Healthcare,
Baxter Healthcare Corporation,Baxter Healthcare,
Bayer Corporation,Bayer Corporation,
Bayer Healthcare Llc,Bayer Corporation,
Bayer U.S. Llc,Bayer Corporation,
Beacon Center Of Tennessee,Beacon Center of Tennessee,
Beacon Impact,Beacon Center of Tennessee,
"Beaman , Lee",Lee Beaman and family (Nashville),
Beaman Motor Company,Lee Beaman and family (Nashville),
"Beaman, Kelley",Lee Beaman and family (Nashville),
"Beaman, Kelly",Lee Beaman and family (Nashville),
"Beaman, Lee",Lee Beaman and family (Nashville),
"Beaman, Lee A.",Lee Beaman and family (Nashville),
"Beaman, Tonya",Lee Beaman and family (Nashville),
"Bellsouth Telecommunications, Inc D/B/A At&T  Tennessee",AT&T,
"Bellsouth Telecommunications, Llc D/B/A At&T  Tennessee",AT&T,
"Bellsouth Telecommunications, Llc D/B/A At&T Tennessee ",AT&T,
Best Buy,Best Buy,
"Best Buy Co.,  Inc. C/O Multistate Associates Inc.",Best Buy,
Beverage Association Of Tennessee,Beverage Association of Tennessee,
Beverage Association Of Tennessee Pac,Beverage Association of Tennessee,
Beverage Association Of Tn,Beverage Association of Tennessee,
"Bfi Waste Systems Of Tennessee, Llc",Republic Services,
Blue Cross Blue Shield Of Tennessee,BlueCross BlueShield of Tennessee,
Blue Cross Blue Shield Of Tn,BlueCross BlueShield of Tennessee,Yes
Blue Cross Blue Shield Of Tn Pac,BlueCross BlueShield of Tennessee,
Bnsf Railway Co.,BNSF Railway Co.,
Bnsf Railway Company,BNSF Railway Co.,Yes
"Boyd, Jenny",Randy Boyd and family (Knoxville),Yes
"Boyd, Randal",Randy Boyd and family (Knoxville),Yes
"Boyd, Randal D",Randy Boyd and family (Knoxville),Yes
"Boyd, Randall",Randy Boyd and family (Knoxville),Yes
"Boyd, Randy",Randy Boyd and family (Knoxville),Yes
Braeburn Inc.,Braeburn Pharmaceuticals,Yes
Braeburn Pharmaceuticals,Braeburn Pharmaceuticals,Yes
Bridgestone Americas Inc Pac,Bridgestone,Yes
"Bridgestone Americas, Inc.",Bridgestone,Yes
Brown-Forman,Jack Daniel's/Brown-Forman,
Brown-Forman - Jack Daniel'S,Jack Daniel's/Brown-Forman,
Campaign For Great Public Schools Dba As City Fund Action,Campaign For Great Public Schools,
Campaign For Great Public Schools Dba As Public School Allies,Campaign For Great Public Schools,
Cash America International Inc.,Cash America,
Catholic Public Policy Commission Of Tennessee,Catholic Public Policy Commission of Tennessee,
"Catholic Public Policy Commission Of Tennessee, Tennessee Catholic Conference",Catholic Public Policy Commission of Tennessee,
Centene Corp. Pac,Centene - Wellcare,
Centene Corporation,Centene - Wellcare,
Centene Corporation On Behalf Of Its Affiliates And Subsidiaries,Centene - Wellcare,
Centene Management Llc,Centene - Wellcare,
"Centurion, Llc",Centurion,
Chat (Children'S Hospital Alliance Of Tn),Children's Hospital Alliance of Tennessee,
Check Into Cash,Community Choice Financial,Yes
Check Into Cash: Jms Pac,Community Choice Financial,Yes
Chs Professional Services Corporation,Community Health Systems,
"Chs/Community Health Systems, Inc.",Community Health Systems,
"Chspsc, Llc",Community Health Systems,
"Cigar Association Of America, Inc.",Cigar Association of America,
Cigna,Cigna - Express Scripts,
"Cigna Corporate Services, Llc",Cigna - Express Scripts,
Citigroup Management Corp.,Citigroup,
"Citigroup Washington, Inc.",Citigroup,
Civilis Strategies,Civilis Strategies,
"Cke Restaurants Holdings, Inc.",CKE Restaurants,
"Cke Restaurants, Inc.",CKE Restaurants,
Cnu Online Holdings Llc,Enova Online Services ,
Coalition Of Large School Systems,Coalition of Large School Systems,
Coalition Of Rural Telephone Ilecs,Coalition of Rural Telephone Cooperatives,Yes
Coalition Of Rural Telephone Ilecs And Cooperatives,Coalition of Rural Telephone Cooperatives,
"Cognosante Consulting, Llc",Cognosante Consulting,
"Cognosante, Llc",Cognosante Consulting,Yes
Comcast,Comcast,Yes
Comcast (Refund),Comcast,Yes
Comcast Corp,Comcast,Yes
Comcast Corp. Pac,Comcast,
Comcast Corporation,Comcast,
Comdata Inc.,Comdata ,
"Comdata Network, Inc.",Comdata ,
"Comm Expand Middle Class Candidate By Airbnb, Inc.",Airbnb,
Comm To Expand Middle Class Supported  Airbnb Inc.,Airbnb,
Comm To Expand Middle Class Supported Airbnb Inc.,Airbnb,
Commissioned Officers Of The State Of Tn,Commissioned officers of Tennessee,
Commissioned Officers State Of Tn,Commissioned officers of Tennessee,
"Committee To Expand Middle Class By Airbnb, Inc.",Airbnb,
Communities In Schools,Communities In Schools of Tennessee,
Communities In Schools Of Tennessee,Communities In Schools of Tennessee,
Community Choice Financial,Community Choice Financial,
"Community Choice Financial, Inc.",Community Choice Financial,
Community Health Systems,Community Health Systems,
Community Health Systems Professional Svcs Corp,Community Health Systems,
Concentra Health Services,Concentra Health Services,
Concentra Health Services Inc.,Concentra Health Services,
Concerned Automotive Retailers Pac,Tennessee Automotive Association,
Connecticut General Life Insurance Company,Cigna - Express Scripts,
Consumer Healthcare Products Association,Consumer Healthcare Products Association,
Copart,Copart,
"Copart, Inc",Copart,
Corecivc Pac,Corecivic,
Corecivic,Corecivic,
Corecivic Pac,Corecivic,
"Corecivic, Inc. Political Action Committee (Corecivic Pac)",Corecivic,
Corecivic Of Tennessee Llc,Corecivic,
"Corecivic Of Tennessee, Llc",Corecivic,
"Corecivic, Inc.",Corecivic,
"Corecivic, Inc. Pac",Corecivic,
"Corizon Health, Inc.",Corizon Health,
Corrections Corp. Of America,Corecivic,
Corrections Corporation Of America,Corecivic,
Corrections Corporation Of America Inc Pac,Corecivic,
Covenant Health,Coventry Health Care,
"Coventry Health Care, Inc.",Coventry Health Care,
Csx Good Government Fund - Tn,CSX Transportation,
Csx Transportation,CSX Transportation,
Cvs Caremark Corporation,CVS Health,
Cvs Health,CVS Health,
Cvs Health And Cvs Caremark Corporation,CVS Health,
Dell Inc.,Dell ,
Dell Technologies Inc.,Dell ,
"Dell Technologies Inc. C/O Dci Group Az, L.L.C.",Dell ,
"Dell Technologies Inc. C/O Hvjt Consulting, Llc",Dell ,
Delta Dental Of Tennessee,Delta Dental,
Delta Dental Of Tennessee Pac,Delta Dental,
Delta Dental Of Tn,Delta Dental,
Delta Dental Plan Of Tenn,Delta Dental,
Delta Dental Plan Of Tenn Committee For Good Government,Delta Dental,
Dentaquest,DentaQuest,
Dentaquest Pac-Tn-C,DentaQuest,
"Dettwiller, A.K.",Dettwiller Family (Nashville),
"Dettwiller, Ak",Dettwiller Family (Nashville),
"Dettwiller, Ann",Dettwiller Family (Nashville),
"Dettwiller, Ann Kathryn",Dettwiller Family (Nashville),
"Dettwiller, Fred",Dettwiller Family (Nashville),
"Dettwiller, Katherine",Dettwiller Family (Nashville),
"Dettwiller, Kathryn",Dettwiller Family (Nashville),
Diageo North America,Diageo North America,
Diageo North America Inc.,Diageo North America,
"Diageo North America, Inc.",Diageo North America,
Directv,Directv,
"Directv, Llc",Directv,
Discovery Communications,Scripps Networks Interactive,
"Discovery Communications, Llc / Scripps Networks Interactive, Inc",Scripps Networks Interactive,
Dish Network,Dish Network,
Dish Network L.L.C.,Dish Network,
Dish Networks C/O Multistate Associates Inc.,Dish Network,
"Drd Management, Inc.",Drd Management,
Eastman Chemical,Eastman Chemical Company,
Eastman Chemical Co.,Eastman Chemical Company,
Eastman Pac,Eastman Chemical Company,
Eastman State Of Tennessee Pac,Eastman Chemical Company,
Ebay,Ebay,
Ebay Inc.,Ebay,
Edgenuity,Edgenuity,
Edgenuity Inc.,Edgenuity,
Education Networks Of America,Education Networks of America,
"Election Systems & Software, Inc.",Election Systems & Software,
"Election Systems & Software, Llc",Election Systems & Software,
"Elevance Health, And Its Affiliates",Elevance Health - Wellpoint,
Eli Lilly & Co.,Eli Lilly,
Eli Lilly & Co. Pac,Eli Lilly,
Eli Lilly And Company (Lilly Usa),Eli Lilly,
Emergent Biosolutions,Emergent Biosolutions,
Emergent Biosolutions Inc.,Emergent Biosolutions,
"Enbridge (U.S.), Inc.",Enbridge,
"Enbridge, Inc.",Enbridge,
Energysolutions,Energysolutions,
Energysolutions Inc.,Energysolutions,
Energysolutions Inc. Fund For Effective Government,Energysolutions,
"Energysolutions, Inc.",Energysolutions,
"Enhanced Capital Group, Llc.",Enhanced Capital Group,
"Enhanced Capital Partners, Inc.",Enhanced Capital Group,
"Enova Online Services, Inc.",Enova Online Services,
"Entegrity Energy Partners, Llc.",Entegrity Enery Partners,
"Entegrity Enery Partners, Llc.",Entegrity Enery Partners,
"Enterprise Holdings, Inc. Pac",Enterprise Rentacar,
Enterprise Rent-A-Car Co. Of Tn,Enterprise Rentacar,
Enterprise Rentacar Co. Of Tennessee,Enterprise Rentacar,
Erlanger Behavioral Health,Erlanger Health System,
Erlanger Health System,Erlanger Health System,
Erlanger Hospital Auxiliary,Erlanger Health System,
Everytown For Gun Safety Action Fund,Everytown For Gun Safety Action Fund,
Everytown For Gun Safety Support Fund,Everytown For Gun Safety Action Fund,
"Excellence In Education National, Inc.",Excel in Ed,
"Excellence In Education National, Inc. D/B/A Excellence In Education In Action",Excel in Ed,
Expedia Group,Expedia Group,
"Expedia, Inc.",Expedia Group,
Express Scripts Holding Co.,Cigna - Express Scripts,
"Express Scripts, Inc.",Cigna - Express Scripts,
Fanduel Group,Fanduel,
"Fanduel, Inc.",Fanduel,
"Farm Credit Mid America, Flca/Pca/Aca",Farm Credit Mid-America,
"Farm Credit Mid-America, Flca/Pca/Aca",Farm Credit Mid-America,
Farm Credit Midamerica,Farm Credit Mid-America,
"Farm Credit Services Of Mid America, Flca/Pca/Aca",Farm Credit Mid-America,
Farmers Employee & Agents Pac,Farm Credit Mid-America,
Federal Express Pac,FedEx,
"Federal Express Pac, Fedex Corporation Pac",FedEx,
Fedex Corporation,FedEx,
Fedex Corporation Pac,FedEx,
Finance  Association Of Tn,Tennessee Cash Advance Association,
Finance Association Of Tn,Tennessee Cash Advance Association,
Finance Association Of Tn/Tn Cash Advance Association,Tennessee Cash Advance Association,
First Horizon National Corp.,First Horizon Bank,
"Firstcash, Inc.",Cash America,
Flex Pac,Advance Financial,
Food Concepts,Food Concepts,
Food Conepts,Food Concepts,
"Freeman, Bill",Bill Freeman and family (Nashville),
"Freeman, William",Bill Freeman and family (Nashville),
"Freeman, William H",Bill Freeman and family (Nashville),
"Freeman, William H.",Bill Freeman and family (Nashville),
Freestanding Ambulatory Surgery Center Association Of Tn,Freestanding Ambulatory Surgery Center Association of Tennessee,
Freestanding Ambulatory Surgery Center Of Tn,Freestanding Ambulatory Surgery Center Association of Tennessee,
Friends Of Mountain States,Ballad Health,Yes
Friends Of Tha,Tennessee Hospital Association,
Friends Of The University Of Memphis Pac,Methodist Le Bonheur Healthcare,
Gainwell Holding Corp.,Gainwell,
Gainwell. Holding. Corp.,Gainwell,
"General Cigar Co., Inc.",General Cigar Company,
"General Cigar Company, Inc.",General Cigar Company,
General Motors Company,General Motors,
General Motors Corp.,General Motors,
General Motors Llc,General Motors,
Geographic Solutions,Geographic Solutions ,
"Geographic Solutions, Inc",Geographic Solutions ,
Glaxosmithkline,GSK,
Glaxosmithkline Llc Pac,GSK,
"Goodwill Excel Center Midsouth, Inc.",Goodwill,
"Goodwill Industries Of Middle Tennessee, Inc.",Goodwill,
Google Inc.,Google ,
Google Inc. And Its Affiliates,Google ,
Google Llc And Its Affiliates,Google ,
Great Public Schools Pac,Campaign For Great Public Schools,
Great Schools Pac,Campaign For Great Public Schools,
"Greenwich Biosciences, Inc.",Greenwich Biosciences,
"Gregory Management Co, Llc",Gregory Management,
Gregory Management Co.,Gregory Management,
Gregory Management Llc,Gregory Management,
"Gregory, James",John Gregory and family (Bristol),
"Gregory, James M",John Gregory and family (Bristol),
"Gregory, James M.",John Gregory and family (Bristol),
"Gregory, Joan",John Gregory and family (Bristol),
"Gregory, Joan P.",John Gregory and family (Bristol),
"Gregory, John",John Gregory and family (Bristol),
"Gregory, John M.",John Gregory and family (Bristol),
"Gregory, Marsha",John Gregory and family (Bristol),
"Gregory, Mr. James",John Gregory and family (Bristol),
"Gregory, Mrs. Marsha",John Gregory and family (Bristol),
Gsk (Formerly Glaxosmithkline),GSK,
"Hand , Lucy","Ray Hand, family and companies (Nasvhville)",
"Hand , Ray","Ray Hand, family and companies (Nasvhville)",
Hand Family Beverage Co Llp,"Ray Hand, family and companies (Nasvhville)",
"Hand Family Beverage Company, Llc","Ray Hand, family and companies (Nasvhville)",
Hand Family Co. Llc,"Ray Hand, family and companies (Nasvhville)",
Hand Family Companies Llc,"Ray Hand, family and companies (Nasvhville)",
"Hand Family Companies, Llc","Ray Hand, family and companies (Nasvhville)",
Hand Family Partnership,"Ray Hand, family and companies (Nasvhville)",
Hand Family Tn Llc Dba Budweiser,"Ray Hand, family and companies (Nasvhville)",
"Hand Family Tn, Llc","Ray Hand, family and companies (Nasvhville)",
Hand Family-Tn Llc,"Ray Hand, family and companies (Nasvhville)",
"Hand Family-Tn, Llc","Ray Hand, family and companies (Nasvhville)",
Hand Family-Tn. Llc,"Ray Hand, family and companies (Nasvhville)",
"Hand Jr, Charles","Ray Hand, family and companies (Nasvhville)",
"Hand, Charles","Ray Hand, family and companies (Nasvhville)",
"Hand, Charles Jr","Ray Hand, family and companies (Nasvhville)",
"Hand, Charles W.","Ray Hand, family and companies (Nasvhville)",
"Hand, Charlsie","Ray Hand, family and companies (Nasvhville)",
"Hand, Jr, Charles W","Ray Hand, family and companies (Nasvhville)",
"Hand, Jr., Charles","Ray Hand, family and companies (Nasvhville)",
"Hand, Jr., Charles W.","Ray Hand, family and companies (Nasvhville)",
"Hand, Lucy","Ray Hand, family and companies (Nasvhville)",
"Hand, Ray","Ray Hand, family and companies (Nasvhville)",
"Hand, Raymond","Ray Hand, family and companies (Nasvhville)",
Harpeth Financial Services,Advance Financial,
"Harpeth Financial Services, Llc",Advance Financial,
"Haslam  Ii, James",William Haslam and family (Knoxville),
"Haslam , Christine",William Haslam and family (Knoxville),
"Haslam , Crissy",William Haslam and family (Knoxville),
"Haslam Ii, James",William Haslam and family (Knoxville),
"Haslam Ii, James A",William Haslam and family (Knoxville),
"Haslam Ii, James A.",William Haslam and family (Knoxville),
"Haslam Ii, Mrs. Jame",William Haslam and family (Knoxville),
"Haslam Iii, James",William Haslam and family (Knoxville),
"Haslam Iii, James A",William Haslam and family (Knoxville),
"Haslam Iii, James A.",William Haslam and family (Knoxville),
"Haslam Johnson, Whitney",William Haslam and family (Knoxville),
"Haslam Jr, William E",William Haslam and family (Knoxville),
"Haslam, Bill",William Haslam and family (Knoxville),
"Haslam, Chrissie",William Haslam and family (Knoxville),
"Haslam, Chrissy",William Haslam and family (Knoxville),
"Haslam, Crissy",William Haslam and family (Knoxville),
"Haslam, Cristen",William Haslam and family (Knoxville),
"Haslam, Dee",William Haslam and family (Knoxville),
"Haslam, Hannah",William Haslam and family (Knoxville),
"Haslam, Ii, James",William Haslam and family (Knoxville),
"Haslam, Ii, James A.",William Haslam and family (Knoxville),
"Haslam, Iii, James",William Haslam and family (Knoxville),
"Haslam, Iii, James A",William Haslam and family (Knoxville),
"Haslam, Iii, James A.",William Haslam and family (Knoxville),
"Haslam, James",William Haslam and family (Knoxville),
"Haslam, James A",William Haslam and family (Knoxville),
"Haslam, James A Ii",William Haslam and family (Knoxville),
"Haslam, James A.",William Haslam and family (Knoxville),
"Haslam, James A. Ii",William Haslam and family (Knoxville),
"Haslam, James, Ii",William Haslam and family (Knoxville),
"Haslam, Jim",William Haslam and family (Knoxville),
"Haslam, Jimmy",William Haslam and family (Knoxville),
"Haslam, Jr., William",William Haslam and family (Knoxville),
"Haslam, Leigh",William Haslam and family (Knoxville),
"Haslam, Mr. James",William Haslam and family (Knoxville),
"Haslam, Mrs. James",William Haslam and family (Knoxville),
"Haslam, Natalie",William Haslam and family (Knoxville),
"Haslam, Natalie L",William Haslam and family (Knoxville),
"Haslam, Natalie L.",William Haslam and family (Knoxville),
"Haslam, Robert",William Haslam and family (Knoxville),
"Haslam, Susan",William Haslam and family (Knoxville),
"Haslam, Susan (Dee)",William Haslam and family (Knoxville),
"Haslam, Susan B",William Haslam and family (Knoxville),
"Haslam, Susan B.",William Haslam and family (Knoxville),
"Haslam, Susan Dee B",William Haslam and family (Knoxville),
"Haslam, William",William Haslam and family (Knoxville),
"Haslam, William E",William Haslam and family (Knoxville),
"Haslam, William E.",William Haslam and family (Knoxville),
Hca Good Government Fund,HCA Healthcare,
Hca Healthcare,HCA Healthcare,
Hca Hospital Corporation Of America,HCA Healthcare,
Hca Inc.,HCA Healthcare,
Hca Management Services,HCA Healthcare,
Hca The Healthcare Company,HCA Healthcare,
Hca Tristar Fund,HCA Healthcare,
Health Management Associates,Health Management Systems,
"Health Management Systems, Inc.",Health Management Systems,
"Health Management Systems, Inc. C/O Multistate Associates Inc.",Health Management Systems,
"Helena Agri-Enterprises, Llc",Helena Agri-Enterprises,
Helena Chemical Company,Helena Agri-Enterprises,
Hewlett Packard Enterprise,HP,
Hewlett-Packard Company,HP,
"Hfr, Inc",HFR,
Home Builders Association Of Tennessee,Home Builders Association of Tennessee,
Home Builders Association Of Tn,Home Builders Association of Tennessee,
Hospitalitytn,Tennessee Hospitality & Tourism Association,
Houghton Mifflin Harcourt Publishing Company,Houghton Mifflin Harcourt Publishing Company,
Housing Industry Pac,Home Builders Association of Tennessee,
Humana,Humana,
Humana Inc,Humana,
Humana Inc.,Humana,
"Independent Insurance Agents Of Tennessee, Inc. Dba Insurors Of Tennessee",Independent Insurance Agents of Tennessee,
"Independent Insurance Agents Of Tn, Inc. Dba Insurors Of Tn",Independent Insurance Agents of Tennessee,
Independent Medicine'S Pac-Tn,Independent Medicine Pac,
Indivior Inc,Indivior Inc,
Indivior Inc.,Indivior Inc,
Indivior Inc. C/O Multistate Associates Inc.,Indivior Inc,
"Indivior, Plc",Indivior Inc,
"Ingram , David","John Ingram, family and companies (Nashville)",
"Ingram , Martha","John Ingram, family and companies (Nashville)",
Ingram Barge Co. Pac,"John Ingram, family and companies (Nashville)",
Ingram Barge Company Llc ,"John Ingram, family and companies (Nashville)",
"Ingram Ii, Orrin","John Ingram, family and companies (Nashville)",
Ingram Industries Inc,"John Ingram, family and companies (Nashville)",
"Ingram Industries, Inc.","John Ingram, family and companies (Nashville)",
"Ingram, Cheryl","John Ingram, family and companies (Nashville)",
"Ingram, David","John Ingram, family and companies (Nashville)",
"Ingram, David B.","John Ingram, family and companies (Nashville)",
"Ingram, Elizabeth","John Ingram, family and companies (Nashville)",
"Ingram, Elizabeth A.","John Ingram, family and companies (Nashville)",
"Ingram, H Preston","John Ingram, family and companies (Nashville)",
"Ingram, H. Preston","John Ingram, family and companies (Nashville)",
"Ingram, Henry","John Ingram, family and companies (Nashville)",
"Ingram, Jere","John Ingram, family and companies (Nashville)",
"Ingram, John","John Ingram, family and companies (Nashville)",
"Ingram, John R.","John Ingram, family and companies (Nashville)",
"Ingram, Martha","John Ingram, family and companies (Nashville)",
"Ingram, Martha R","John Ingram, family and companies (Nashville)",
"Ingram, Martha R.","John Ingram, family and companies (Nashville)",
"Ingram, Orrin","John Ingram, family and companies (Nashville)",
"Ingram, Orrin H.","John Ingram, family and companies (Nashville)",
"Ingram, Sarah","John Ingram, family and companies (Nashville)",
"Ingram, Stephanie","John Ingram, family and companies (Nashville)",
"Ingram, Stephanie C.","John Ingram, family and companies (Nashville)",
"Ingram, Stephanie Currey","John Ingram, family and companies (Nashville)",
"Ingram, Vincent","John Ingram, family and companies (Nashville)",
Insurors Of Tn Pac,Independent Insurance Agents of Tennessee,
J2 Software Solutions,J2 Software Solutions,
"J2 Software Solutions, Inc.",J2 Software Solutions,
Jack Daniel'S Pac,Jack Daniel's/Brown-Forman,
"James, Ayers",Jim Ayers and family (Parsons),
"James, Gregory",John Gregory and family (Bristol),
"Jazz Pharmaceuticals, Inc. And Its Subsidiaries, Including Greenwich Biosciences, Inc.",Greenwich Biosciences,
Jms Pac,Community Choice Financial,
Johnson & Johnson Health Care Systems Inc,Johnson and Johnson,
Johnson & Johnson Political Action Committee,Johnson and Johnson,
Johnson And Johnson,Johnson and Johnson,
"Johnson Controls, Inc.",Johnson Controls,
K12 Education Choice Pac,K12 Inc,
K12 Inc,K12 Inc,
Knoxville Chamber,Knoxville Chamber,
Ky/Tn Section Of American Water Works Assn. Ky/Tn Section,American Water Works Association,
